leadId,name,category,rating,reviews,phone,website,websiteType,websiteStatus,discoveryNote,discoveryVerified,googleMapsUrl,businessScore,businessReason,preliminaryOpportunityScore,websiteAuditStatus,websiteScore,websiteQuality,websiteIssues,hasEmail,hasWhatsapp,salesScore,salesPriority,salesReason,salesAngle,recommendedProduct,contactability
https://www.google.com/maps/search/?api=1&query=Neumatec&query_place_id=ChIJS_kUlhfQEQ0RuxDx-zFIOms,Neumatec,Taller mecánico,4.8,72,+34 959 80 30 74,https://www.facebook.com/neumatec.cb,social,social_only,Solo se ha observado un perfil social; no prueba ausencia de web propia.,false,https://www.google.com/maps/search/?api=1&query=Neumatec&query_place_id=ChIJS_kUlhfQEQ0RuxDx-zFIOms,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,82,not_applicable,,NOT_APPLICABLE,,false,false,82,CONTACT_NOW,negocio con demanda demostrada · solo presencia social · teléfono disponible · reputación fuerte con necesidad digital visible,"4.8★ y 72 reseñas; solo se observa presencia social, no una web propia.",Web + WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Taller%20Mec%C3%A1nico%20J.Suarez&query_place_id=ChIJ4epH39vPEQ0RcWfc-ZKGt_o,Taller Mecánico J.Suarez,Taller mecánico,4.8,139,+34 685 86 72 23,,none,website_not_found,Google Maps no aportó URL; la ausencia no está verificada.,false,https://www.google.com/maps/search/?api=1&query=Taller%20Mec%C3%A1nico%20J.Suarez&query_place_id=ChIJ4epH39vPEQ0RcWfc-ZKGt_o,89,excelente valoración · 100+ reseñas · teléfono disponible · ficha de Google Maps,92,not_applicable,,NOT_APPLICABLE,,false,false,80,CONTACT_NOW,negocio con demanda demostrada · sin web indicada en Google Maps; pendiente de verificar · teléfono disponible · reputación fuerte con necesidad digital visible,4.8★ y 139 reseñas; Google Maps no indica web propia.,Web nueva + contacto/WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Auto%20Mec%C3%A1nica%20Zafra&query_place_id=ChIJmZgs7y7QEQ0RSlnTsHFD9_Y,Auto Mecánica Zafra,Taller de reparación de automóviles,4.9,63,+34 959 04 83 53,,none,website_not_found,Google Maps no aportó URL; la ausencia no está verificada.,false,https://www.google.com/maps/search/?api=1&query=Auto%20Mec%C3%A1nica%20Zafra&query_place_id=ChIJmZgs7y7QEQ0RSlnTsHFD9_Y,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,89,not_applicable,,NOT_APPLICABLE,,false,false,78,CONTACT_NOW,negocio con demanda demostrada · sin web indicada en Google Maps; pendiente de verificar · teléfono disponible · reputación fuerte con necesidad digital visible,4.9★ y 63 reseñas; Google Maps no indica web propia.,Web nueva + contacto/WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Talleres%20Hermanos%20Romero%20Minchon&query_place_id=ChIJk2NUFxvQEQ0RBKcf6Igs-cA,Talleres Hermanos Romero Minchon,Taller de reparación de automóviles,4.9,50,+34 606 43 82 50,,none,website_not_found,Google Maps no aportó URL; la ausencia no está verificada.,false,https://www.google.com/maps/search/?api=1&query=Talleres%20Hermanos%20Romero%20Minchon&query_place_id=ChIJk2NUFxvQEQ0RBKcf6Igs-cA,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,89,not_applicable,,NOT_APPLICABLE,,false,false,78,CONTACT_NOW,negocio con demanda demostrada · sin web indicada en Google Maps; pendiente de verificar · teléfono disponible · reputación fuerte con necesidad digital visible,4.9★ y 50 reseñas; Google Maps no indica web propia.,Web nueva + contacto/WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Taller%20El%20Olivo&query_place_id=ChIJLaqheN_PEQ0RXMEzeRHSpQc,Taller El Olivo,Taller de reparación de automóviles,4.7,99,+34 639 08 14 45,,none,website_not_found,Google Maps no aportó URL; la ausencia no está verificada.,false,https://www.google.com/maps/search/?api=1&query=Taller%20El%20Olivo&query_place_id=ChIJLaqheN_PEQ0RXMEzeRHSpQc,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,not_applicable,,NOT_APPLICABLE,,false,false,76,CONTACT_NOW,negocio con demanda demostrada · sin web indicada en Google Maps; pendiente de verificar · teléfono disponible · reputación fuerte con necesidad digital visible,4.7★ y 99 reseñas; Google Maps no indica web propia.,Web nueva + contacto/WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Talleres%20Asdrubal&query_place_id=ChIJ5XHeox7QEQ0RwruJ1EL5arc,Talleres Asdrubal,Taller de automóviles,4.7,86,+34 638 95 35 53,,none,website_not_found,Google Maps no aportó URL; la ausencia no está verificada.,false,https://www.google.com/maps/search/?api=1&query=Talleres%20Asdrubal&query_place_id=ChIJ5XHeox7QEQ0RwruJ1EL5arc,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,not_applicable,,NOT_APPLICABLE,,false,false,76,CONTACT_NOW,negocio con demanda demostrada · sin web indicada en Google Maps; pendiente de verificar · teléfono disponible · reputación fuerte con necesidad digital visible,4.7★ y 86 reseñas; Google Maps no indica web propia.,Web nueva + contacto/WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Tocar%20Motor%20SL&query_place_id=ChIJh7GD-f_PEQ0RU8omK9IFCNs,Tocar Motor SL,Taller de reparación de automóviles,4.7,58,+34 959 27 02 12,,none,website_not_found,Google Maps no aportó URL; la ausencia no está verificada.,false,https://www.google.com/maps/search/?api=1&query=Tocar%20Motor%20SL&query_place_id=ChIJh7GD-f_PEQ0RU8omK9IFCNs,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,not_applicable,,NOT_APPLICABLE,,false,false,76,CONTACT_NOW,negocio con demanda demostrada · sin web indicada en Google Maps; pendiente de verificar · teléfono disponible · reputación fuerte con necesidad digital visible,4.7★ y 58 reseñas; Google Maps no indica web propia.,Web nueva + contacto/WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Autobox&query_place_id=ChIJnco6gKnaEQ0R2HFbGck97M0,Autobox,Taller de automóviles,4.9,40,+34 681 16 31 28,https://www.facebook.com/autoboxhuelva/,social,social_only,Solo se ha observado un perfil social; no prueba ausencia de web propia.,false,https://www.google.com/maps/search/?api=1&query=Autobox&query_place_id=ChIJnco6gKnaEQ0R2HFbGck97M0,73,excelente valoración · 30+ reseñas · teléfono disponible · ficha de Google Maps,77,not_applicable,,NOT_APPLICABLE,,false,false,64,REVIEW_FIRST,negocio con demanda demostrada · solo presencia social · teléfono disponible,"4.9★ y 40 reseñas; solo se observa presencia social, no una web propia.",Web + WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=TALLER%20AUTOPRIME&query_place_id=ChIJYwDswWXPEQ0RHF82t3rmtII,TALLER AUTOPRIME,Taller mecánico,4.9,35,+34 623 27 98 90,https://www.facebook.com/profile.php?id=100072087495287,social,social_only,Solo se ha observado un perfil social; no prueba ausencia de web propia.,false,https://www.google.com/maps/search/?api=1&query=TALLER%20AUTOPRIME&query_place_id=ChIJYwDswWXPEQ0RHF82t3rmtII,73,excelente valoración · 30+ reseñas · teléfono disponible · ficha de Google Maps,77,not_applicable,,NOT_APPLICABLE,,false,false,64,REVIEW_FIRST,negocio con demanda demostrada · solo presencia social · teléfono disponible,"4.9★ y 35 reseñas; solo se observa presencia social, no una web propia.",Web + WhatsApp,Teléfono disponible
https://www.google.com/maps/search/?api=1&query=Espamovil&query_place_id=ChIJpZmW2yHQEQ0RPVrPMvFdTWQ,Espamovil,Taller mecánico,4.8,72,+34 959 26 20 32,http://www.espamovil.com/,own_website,website_found,URL propia disponible para auditoría.,true,https://www.google.com/maps/search/?api=1&query=Espamovil&query_place_id=ChIJpZmW2yHQEQ0RPVrPMvFdTWQ,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,49,analysed,35,WEAK,sin title · sin meta description · sin viewport móvil · sin teléfono visible · sin email visible · sin WhatsApp · sin formulario,false,false,63,REVIEW_FIRST,negocio con demanda demostrada · web propia con señales mejorables · teléfono disponible,4.8★ y 72 reseñas; la web tiene carencias básicas: sin title · sin meta description · sin viewport móvil · sin teléfono visible · sin email visible · sin WhatsApp · sin formulario.,Rediseño web + contacto,Teléfono disponible
