leadId,name,category,rating,reviews,phone,website,websiteType,websiteStatus,discoverySource,discoveryConfidence,discoveryVerified,discoveryNote,address,city,state,country,googleMapsUrl,businessScore,businessReason,preliminaryOpportunityScore,preliminaryOpportunityLevel,preliminaryOpportunityReason
https://www.google.com/maps/search/?api=1&query=Taller%20Mec%C3%A1nico%20J.Suarez&query_place_id=ChIJ4epH39vPEQ0RcWfc-ZKGt_o,Taller Mecánico J.Suarez,Taller mecánico,4.8,139,+34 685 86 72 23,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"C. Pérez Galdós, 78, 21002 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Taller%20Mec%C3%A1nico%20J.Suarez&query_place_id=ChIJ4epH39vPEQ0RcWfc-ZKGt_o,89,excelente valoración · 100+ reseñas · teléfono disponible · ficha de Google Maps,92,HIGH,sin web registrada · excelente reputación · 100+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Auto%20Mec%C3%A1nica%20Zafra&query_place_id=ChIJmZgs7y7QEQ0RSlnTsHFD9_Y,Auto Mecánica Zafra,Taller de reparación de automóviles,4.9,63,+34 959 04 83 53,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Av. Alemania, 18, 21001 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Auto%20Mec%C3%A1nica%20Zafra&query_place_id=ChIJmZgs7y7QEQ0RSlnTsHFD9_Y,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,89,HIGH,sin web registrada · excelente reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Talleres%20Hermanos%20Romero%20Minchon&query_place_id=ChIJk2NUFxvQEQ0RBKcf6Igs-cA,Talleres Hermanos Romero Minchon,Taller de reparación de automóviles,4.9,50,+34 606 43 82 50,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"C. Obispo Díaz Bernal, 15, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Talleres%20Hermanos%20Romero%20Minchon&query_place_id=ChIJk2NUFxvQEQ0RBKcf6Igs-cA,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,89,HIGH,sin web registrada · excelente reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Talleres%20Asdrubal&query_place_id=ChIJ5XHeox7QEQ0RwruJ1EL5arc,Talleres Asdrubal,Taller de automóviles,4.7,86,+34 638 95 35 53,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"C. Chaparral, 2, 21006 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Talleres%20Asdrubal&query_place_id=ChIJ5XHeox7QEQ0RwruJ1EL5arc,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,HIGH,sin web registrada · buena reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Monoplato%20Bike%20Workshop&query_place_id=ChIJd0ehmzrREQ0RP-392Y2eK0o,Monoplato Bike Workshop,Taller de bicicletas,4.7,74,+34 686 06 89 57,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"C. los Mudéjares, 7, 21002 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Monoplato%20Bike%20Workshop&query_place_id=ChIJd0ehmzrREQ0RP-392Y2eK0o,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,HIGH,sin web registrada · buena reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Tocar%20Motor%20SL&query_place_id=ChIJh7GD-f_PEQ0RU8omK9IFCNs,Tocar Motor SL,Taller de reparación de automóviles,4.7,58,+34 959 27 02 12,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Polígono la Paz, 80, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Tocar%20Motor%20SL&query_place_id=ChIJh7GD-f_PEQ0RU8omK9IFCNs,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,HIGH,sin web registrada · buena reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Motos%20Pepe%20Taller&query_place_id=ChIJsTi-ZRfQEQ0RhF0dckK9DZ8,Motos Pepe Taller,Taller de reparación de motos,4.5,52,+34 959 81 33 66,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"C. Arquitecto Pinto, 20, 21003 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Motos%20Pepe%20Taller&query_place_id=ChIJsTi-ZRfQEQ0RhF0dckK9DZ8,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,HIGH,sin web registrada · buena reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nica%20R%C3%A1pida%20Carsur&query_place_id=ChIJo6_jTADQEQ0RQUKumdULnnw,Mecánica Rápida Carsur,Taller mecánico,4.6,51,+34 959 61 07 21,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Av. Príncipe de las Letras, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Mec%C3%A1nica%20R%C3%A1pida%20Carsur&query_place_id=ChIJo6_jTADQEQ0RQUKumdULnnw,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,HIGH,sin web registrada · buena reputación · 50+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Talleres%20Vargas%20C.B.&query_place_id=ChIJ2X5HLgfQEQ0RfFmwJWHebuE,Talleres Vargas C.B.,Taller de reparación de automóviles,4.9,42,+34 959 24 27 81,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Marismas del Polvorín, Pol. Ind, C. la Gravera, 7, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Talleres%20Vargas%20C.B.&query_place_id=ChIJ2X5HLgfQEQ0RfFmwJWHebuE,73,excelente valoración · 30+ reseñas · teléfono disponible · ficha de Google Maps,84,HIGH,sin web registrada · excelente reputación · 30+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=TALLER%20COAC&query_place_id=ChIJaw1njijQEQ0RRNVND00iqSg,TALLER COAC,Taller mecánico,4.8,37,+34 959 24 44 33,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Av. Alemania, 23, 21002 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=TALLER%20COAC&query_place_id=ChIJaw1njijQEQ0RRNVND00iqSg,73,excelente valoración · 30+ reseñas · teléfono disponible · ficha de Google Maps,84,HIGH,sin web registrada · excelente reputación · 30+ reseñas · teléfono disponible
https://www.google.com/maps/search/?api=1&query=Neumatec&query_place_id=ChIJS_kUlhfQEQ0RuxDx-zFIOms,Neumatec,Taller mecánico,4.8,72,+34 959 80 30 74,https://www.facebook.com/neumatec.cb,social,social_only,google_maps,high,false,Solo se ha observado un perfil social; no prueba ausencia de web propia.,"C. Isla Saltes, 2, 21003 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Neumatec&query_place_id=ChIJS_kUlhfQEQ0RuxDx-zFIOms,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,82,HIGH,solo presencia social · excelente reputación · 50+ reseñas · teléfono disponible
