leadId,name,category,rating,reviews,phone,website,websiteType,websiteStatus,discoverySource,discoveryConfidence,discoveryVerified,discoveryNote,address,city,state,country,googleMapsUrl,businessScore,businessReason,preliminaryOpportunityScore,preliminaryOpportunityLevel,preliminaryOpportunityReason,websiteAuditStatus,httpStatus,finalUrl,redirectDetected,hasHttps,title,metaDescription,hasViewport,hasPhone,hasEmail,hasWhatsapp,hasForm,socialLinks,detectedEmails,detectedPhones,contentLength,websiteScore,websiteQuality,websiteIssues,error
https://www.google.com/maps/search/?api=1&query=Relojero%20Express&query_place_id=ChIJiT6mSI3REQ0R5x8H16nSFgQ,Relojero Express,Relojería,4.7,52,+34 666 80 42 78,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Puesto S\N Nuevo Mercado del Carmen, Av. Italia, 2, 21001 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Relojero%20Express&query_place_id=ChIJiT6mSI3REQ0R5x8H16nSFgQ,77,buena valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,85,HIGH,sin web registrada · buena reputación · 50+ reseñas · teléfono disponible,not_applicable,,,false,false,,,false,false,false,false,false,,,,0,,NOT_APPLICABLE,,
https://www.google.com/maps/search/?api=1&query=Talleres%20Romero%20Car&query_place_id=ChIJr3uQpwDQEQ0R7_29aX2HskY,Talleres Romero Car,Cerrajero,4.1,40,+34 959 22 67 18,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Pol. ind. La Esperanza, C. la Juliana, 1, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Talleres%20Romero%20Car&query_place_id=ChIJr3uQpwDQEQ0R7_29aX2HskY,59,valoración positiva · 30+ reseñas · teléfono disponible · ficha de Google Maps,73,MEDIUM,sin web registrada · reputación positiva · 30+ reseñas · teléfono disponible,not_applicable,,,false,false,,,false,false,false,false,false,,,,0,,NOT_APPLICABLE,,
https://www.google.com/maps/search/?api=1&query=Cerrajero%20Huelva%20%7C%20ONUKEYS&query_place_id=ChIJQ4_OxT332q4RvkDKG_kOSCM,Cerrajero Huelva | ONUKEYS,Cerrajero,5,590,+34 613 15 12 12,https://cerrajerohuelvaonukeys.com/,own_website,website_found,google_maps,high,true,URL propia disponible para auditoría.,"C. 4 de Diciembre, s/n, 21004 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Cerrajero%20Huelva%20%7C%20ONUKEYS&query_place_id=ChIJQ4_OxT332q4RvkDKG_kOSCM,100,excelente valoración · 500+ reseñas · teléfono disponible · ficha de Google Maps,55,MEDIUM,tiene web propia · excelente reputación · 300+ reseñas · teléfono disponible,analysed,200,https://cerrajerohuelvaonukeys.com/,false,true,ONUKEYS | Cerrajeros en Huelva y provincia,"Cerrajeros rápidos en Huelva, cerrajeros con precios justos y cerrajeros profesionales con mucha experiencia en la cerrajería",true,true,true,false,true,facebook;instagram;tiktok,cerrajerohuelvaonukeys@gmail.com,+34 613151212,17414,95,GOOD,sin WhatsApp,
https://www.google.com/maps/search/?api=1&query=Cerrajero%20Costa%20de%20la%20Luz&query_place_id=ChIJ-7TQ3B_QEQ0R8Q2V0lb3Gds,Cerrajero Costa de la Luz,Cerrajero,5,338,+34 656 44 47 00,http://cerrajerocostadelaluz.com/,own_website,website_found,google_maps,high,true,URL propia disponible para auditoría.,"C. Vasco Núñez de Balboa, 10, 8º A, 21004 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Cerrajero%20Costa%20de%20la%20Luz&query_place_id=ChIJ-7TQ3B_QEQ0R8Q2V0lb3Gds,95,excelente valoración · 300+ reseñas · teléfono disponible · ficha de Google Maps,55,MEDIUM,tiene web propia · excelente reputación · 300+ reseñas · teléfono disponible,analysed,200,https://www.cerrajerocostadelaluz.com/,true,true,Inicio - Cerrajero Costa de la Luz,Cerrajero Costa de la Luz con experiencia en el mundo de la cerrajería desde 1985. Apostamos por ofrecer productos de calidad y un servicio específico para,true,true,false,false,true,,,0034656444700;+34 656444700,3993,85,GOOD,sin email visible · sin WhatsApp,
https://www.google.com/maps/search/?api=1&query=Onuba%20Multiservicios&query_place_id=ChIJ0_JZq967f0MRwyCgLSpRfqc,Onuba Multiservicios,Cerrajero,1,1,+34 642 30 27 21,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,,,,,https://www.google.com/maps/search/?api=1&query=Onuba%20Multiservicios&query_place_id=ChIJ0_JZq967f0MRwyCgLSpRfqc,25,teléfono disponible · ficha de Google Maps,55,MEDIUM,sin web registrada · teléfono disponible,not_applicable,,,false,false,,,false,false,false,false,false,,,,0,,NOT_APPLICABLE,,
https://www.google.com/maps/search/?api=1&query=Servicios%20y%20Mantenimientos%20Arenas%20SL&query_place_id=ChIJZVJoeQHFEQ0Rg9At0BuMomM,Servicios y Mantenimientos Arenas SL,Cerrajero,0,0,+34 959 10 06 51,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,"Polígono industrial parque huelva empresarial nave 60, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Servicios%20y%20Mantenimientos%20Arenas%20SL&query_place_id=ChIJZVJoeQHFEQ0Rg9At0BuMomM,25,teléfono disponible · ficha de Google Maps,55,MEDIUM,sin web registrada · teléfono disponible,not_applicable,,,false,false,,,false,false,false,false,false,,,,0,,NOT_APPLICABLE,,
https://www.google.com/maps/search/?api=1&query=autosportmonkey&query_place_id=ChIJuQAo5MbE6EARW4-qEwqVZcc,autosportmonkey,Cerrajero,0,0,+34 644 33 34 74,,none,website_not_found,google_maps_missing,unverified,false,Google Maps no aportó URL; la ausencia no está verificada.,,,,,https://www.google.com/maps/search/?api=1&query=autosportmonkey&query_place_id=ChIJuQAo5MbE6EARW4-qEwqVZcc,25,teléfono disponible · ficha de Google Maps,55,MEDIUM,sin web registrada · teléfono disponible,not_applicable,,,false,false,,,false,false,false,false,false,,,,0,,NOT_APPLICABLE,,
https://www.google.com/maps/search/?api=1&query=Cerrajero%20Ra%C3%BAl%20Tortosa&query_place_id=ChIJJ33r2wHPEQ0R75WeEIMiJc4,Cerrajero Raúl Tortosa,Cerrajero,4.9,192,+34 634 81 66 37,https://www.cerrajerodehuelva.com/,own_website,website_found,google_maps,high,true,URL propia disponible para auditoría.,"C. Diego de Almagro, 68, 21002 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Cerrajero%20Ra%C3%BAl%20Tortosa&query_place_id=ChIJJ33r2wHPEQ0R75WeEIMiJc4,89,excelente valoración · 100+ reseñas · teléfono disponible · ficha de Google Maps,52,LOW,tiene web propia · excelente reputación · 100+ reseñas · teléfono disponible,analysed,200,https://www.cerrajerodehuelva.com/,false,true,Cerrajero 24h en Huelva | Apertura de puertas y seguridad,"Cerrajero 24h en Huelva para apertura de puertas, puertas acorazadas CABMA, amaestramientos, mandos de garaje y cajas fuertes. Atención cercana y directa.",true,true,true,true,false,facebook;instagram;tiktok,info@cerrajerodehuelva.com,+34 634816637,4312,95,GOOD,sin formulario,
https://www.google.com/maps/search/?api=1&query=Cerrajer%C3%ADa%20Huelva&query_place_id=ChIJBTIvUhnREQ0R-ptAUA5YiwA,Cerrajería Huelva,Cerrajero,4.9,108,+34 674 43 31 76,https://cerrajerohuelva.es/,own_website,website_found,google_maps,high,true,URL propia disponible para auditoría.,"C. Alanís de la Sierra, 15, 21007 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Cerrajer%C3%ADa%20Huelva&query_place_id=ChIJBTIvUhnREQ0R-ptAUA5YiwA,89,excelente valoración · 100+ reseñas · teléfono disponible · ficha de Google Maps,52,LOW,tiene web propia · excelente reputación · 100+ reseñas · teléfono disponible,analysed,200,https://cerrajerohuelva.es/,false,true,Cerrajero de guardia 24 horas en Huelva,"Apertura, reparación e instalación de todo tipo de cerraduras en domicilios o negocios en la provincia de Huelva.",true,true,true,true,true,,logo-dark@2x.png;logo-light@2x.png,+34 674433176,8873,95,GOOD,,
https://www.google.com/maps/search/?api=1&query=Cerrajeros%20Velasco%20Huelva&query_place_id=ChIJJT_HVWE5ImoRIuh64AVal_E,Cerrajeros Velasco Huelva,Cerrajero,5,57,+34 626 18 12 71,https://cerrajerosvelascohuelva.com/,own_website,website_found,google_maps,high,true,URL propia disponible para auditoría.,"C. Legión Española, 4 Trasera, 21005 Huelva, España",Huelva,Huelva,ES,https://www.google.com/maps/search/?api=1&query=Cerrajeros%20Velasco%20Huelva&query_place_id=ChIJJT_HVWE5ImoRIuh64AVal_E,82,excelente valoración · 50+ reseñas · teléfono disponible · ficha de Google Maps,49,LOW,tiene web propia · excelente reputación · 50+ reseñas · teléfono disponible,analysed,200,https://cerrajerosvelascohuelva.com/,false,true,Cerrajero en Huelva - Cerrajeros Velasco Huelva,Cerrajeros Velasco Huelva asistencia 24 horas para aperturas y cambios de cerraduras. Cerrajero en Huelva con servicio rápido y profesional.,true,true,true,false,false,,raulvelascomacias@gmail.com,+34 626181271,11772,85,GOOD,sin WhatsApp · sin formulario,
